status_delayed,sch_dep_time,carrier_delta,carrier_us,carrier_envoy,carrier_continental,carrier_discovery,carrier_other,dest_jfk,dest_ewr,dest_lga,distance,origin_dca,origin_iad,origin_bwi,bad_weather,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,1,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,1,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,1,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,1,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,0,1
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,1,0,0,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,1,0,0,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,1,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,1,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,1,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,1,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,0,1
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,1,0,0,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,1,0,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,1,0,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,1,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,1,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,1,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,0,1
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,1,0,0,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,1,0,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,1,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,1,0,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,1,0,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,0,0,0,0,1,0
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,1,0,0,0,0,0,0,1
1,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,1,0,0,0,0,0,0
0,14.92,1,0,0,0,0,0,1,0,0,213,1,0,0,0,0,1,0,0,0,0,0
